VertexFrom VertexTo TimeStart TimeStop
VehicleFlowWestToEast_032 VehicleFlowWestToNorth9 2 2
VehicleFlowWestToEast_032 VehicleFlowNorthToEast5 2 2
VehicleFlowWestToEast_032 VehicleFlowNorthToEast4 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast34 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast35 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast36 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast37 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast30 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast31 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast32 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast33 2 2
VehicleFlowWestToEast_032 VehicleFlowEastToWest_19 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast27 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast26 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast25 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast24 2 2
VehicleFlowWestToEast_032 VehicleFlowNorthToWest10 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast29 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast28 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToNorth11 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast_028 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToNorth12 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast_029 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToNorth10 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast_034 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast_031 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast_030 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToSouth4 2 2
VehicleFlowWestToEast_032 VehicleFlowEastToWest10 2 2
VehicleFlowWestToEast_032 VehicleFlowNorthToSouth6 2 2
VehicleFlowWestToEast_032 VehicleFlowNorthToSouth5 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast_027 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast_024 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast_022 2 2
VehicleFlowWestToEast_032 VehicleFlowEastToWest_012 2 2
VehicleFlowWestToEast_032 VehicleFlowEastToWest_011 2 2
VehicleFlowEastToSouth2 VehicleFlowNorthToEast3 2 2
VehicleFlowEastToSouth2 VehicleFlowNorthToEast5 2 2
VehicleFlowEastToSouth2 VehicleFlowNorthToEast4 2 2
VehicleFlowEastToSouth2 VehicleFlowSouthToEast7 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast27 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast26 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast25 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast24 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast23 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast22 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast21 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast29 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast28 2 2
VehicleFlowEastToSouth2 BusFlowEastWest01 2 2
VehicleFlowEastToSouth2 VehicleFlowSouthToWest13 2 2
VehicleFlowEastToSouth2 VehicleFlowSouthToWest12 2 2
VehicleFlowEastToSouth2 VehicleFlowSouthToWest11 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToNorth8 2 2
VehicleFlowEastToSouth2 VehicleFlowNorthToSouth4 2 2
VehicleFlowEastToSouth2 VehicleFlowNorthToSouth5 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToNorth7 2 2
